Date,open,high,low,close,volume,daily_return,volatility,ma_50,ma_200,open_outlier,high_outlier,low_outlier,close_outlier,price_consistency
6/2/2022,192.02,205.47,191.72,205.09,9623121,6.31,4.45,258.2434,474.4128,FALSE,FALSE,FALSE,FALSE,TRUE
6/3/2022,200.14,202.95,198.05,198.98,7191775,-2.98,4.13,254.7332,472.79835,FALSE,FALSE,FALSE,FALSE,TRUE
6/6/2022,202.09,203.87,195.38,197.14,5372043,-0.92,4.02,251.1618,471.0655,FALSE,FALSE,FALSE,FALSE,TRUE
6/7/2022,194.87,199.6,193,198.61,4839491,0.75,3.86,247.657,469.32415,FALSE,FALSE,FALSE,FALSE,TRUE
6/8/2022,197.95,207.38,197.64,202.83,7244121,2.12,3.85,244.1434,467.57165,FALSE,FALSE,FALSE,FALSE,TRUE
6/9/2022,200.65,201.69,192.54,192.77,6948967,-4.96,3.72,240.1624,465.76845,FALSE,FALSE,FALSE,FALSE,TRUE
6/10/2022,182.64,185.86,180.85,182.94,13074280,-5.1,3.82,236.1918,463.94525,FALSE,FALSE,FALSE,FALSE,TRUE
6/13/2022,177.07,179.09,168.96,169.69,10222407,-7.24,3.77,232.0938,462.0431,FALSE,FALSE,FALSE,FALSE,TRUE
6/14/2022,169.75,172.06,164.28,167.54,11555323,-1.27,3.77,227.9752,460.0862,FALSE,FALSE,FALSE,FALSE,TRUE
6/15/2022,169.26,183.84,168.53,180.11,12396041,7.5,4.14,223.7474,458.15585,FALSE,FALSE,FALSE,FALSE,TRUE
6/16/2022,174,176.27,171.56,173.35,8201306,-3.75,3.91,219.6114,456.17665,FALSE,FALSE,FALSE,FALSE,TRUE
6/17/2022,173.63,179.65,173.34,175.51,12133372,1.25,3.83,215.7546,454.14385,FALSE,FALSE,FALSE,FALSE,TRUE
6/21/2022,177.6,178.62,169.8,170.91,12177592,-2.62,3.85,211.9298,452.05565,FALSE,FALSE,FALSE,FALSE,TRUE
6/22/2022,170.75,182.82,170.2,178.89,12010615,4.67,4.01,208.39,449.99745,FALSE,FALSE,FALSE,FALSE,TRUE
6/23/2022,180.5,182.76,175.87,181.71,9538226,1.58,3.93,205.0642,447.87245,FALSE,FALSE,FALSE,FALSE,TRUE
6/24/2022,183.5,191.19,181.84,190.85,12423974,5.03,3.98,201.9992,445.79645,FALSE,FALSE,FALSE,FALSE,TRUE
6/27/2022,191.77,191.78,182.39,189.14,8363879,-0.9,3.97,198.7734,443.75445,FALSE,FALSE,FALSE,FALSE,TRUE
6/28/2022,189.2,192.2,179.37,179.6,7201897,-5.04,4.09,195.5428,441.65885,FALSE,FALSE,FALSE,FALSE,TRUE
6/29/2022,179.55,180.66,175.1,178.36,5766847,-0.69,4.08,192.3528,439.6042,FALSE,FALSE,FALSE,FALSE,TRUE
6/30/2022,177.07,179.45,170.3,174.87,7894710,-1.96,4.07,188.878,437.58975,FALSE,FALSE,FALSE,FALSE,TRUE
7/1/2022,176.49,180.1,174.27,179.95,5201583,2.91,3.84,187.9532,435.57515,FALSE,FALSE,FALSE,FALSE,TRUE
